id,name,gis_id,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete
157,pt0320,320,41.8280061798263,2.93531589449689,494628.614782,4630682.256978,,,,,yes
158,pt0322,322,41.7891475556045,2.73704786000425,478151.177097,4626399.361243,EDAR MA?ÁANET DE LA SELVA,ES9171030006010E,373,,no
159,pt0324,324,41.9636942906816,3.09395557889885,507785.599404,4645749.524606,,,393,,no
160,pt0326,326,41.9221995563625,2.71355626754345,476248.526110,4641177.856767,,,420,,no
161,pt0328,328,41.9626244970246,3.14103183986713,511686.755117,4645636.096327,,,394,,no
162,pt0330,330,41.7984718565823,2.82700352093776,485627.723712,4627415.641587,,,368,,no
163,pt0332,332,41.9336225242043,2.18579129910216,432498.892512,4642726.976681,,,,,yes
164,pt0334,334,41.7741190807545,2.39386576705551,449624.159430,4624874.940726,,,337,,no
165,pt0336,336,41.8735593177473,2.40517355186810,450640.389067,4635908.841605,,,459,,no
166,pt0338,338,41.8466028866905,2.51209729883957,459496.104475,4632860.000573,,,350,,no
167,pt0340,340,41.9650612625335,2.39906720672031,450204.862080,4646071.645046,,,454,,no
168,pt0342,342,41.9699415319124,2.23081798121146,436267.998487,4646724.968124,,,465,,no
169,pt0344,344,41.7835411241483,2.92749888860811,493975.324301,4625746.038164,,,379,,no
170,pt0346,346,41.9455996499422,2.30992589511918,442800.903296,4643966.492904,EDAR FOLGUEROLES,ES9080830001010E,,,no
171,pt0348,348,41.7839944081431,2.40687563523037,450712.976899,4625963.812524,,,,,yes
172,pt0350,350,41.7643332936186,2.75112139871155,479312.582396,4623640.886023,EDAR PANTANS DE MONTBARBAT,ES9117103001000E,,,no
173,pt0352,352,41.7997700380512,2.42333122752764,452092.145692,4627706.007399,,,,,yes
174,pt0354,354,41.8060139734912,2.89951102902527,491652.513702,4628243.423260,,,378,,no
175,pt0356,356,41.8224899787544,2.44288238517373,453732.753707,4630217.794715,,,,,yes
176,pt0358,358,41.8336003448977,2.39068229495481,449406.395937,4631480.762963,,,,,yes
177,pt0360,360,41.8053730502636,2.68892147069637,474158.846380,4628214.147571,,,,,yes
178,pt0362,362,41.8454824733770,2.29613873237457,441566.910166,4632860.000573,,,,20,no
179,pt0364,364,41.8994770344884,2.49244285409249,457899.172189,4638739.908278,,,,,yes
180,pt0366,366,41.9055770571483,3.16260237154887,513486.233265,4639305.421511,,,,,yes
181,pt0368,368,41.9375846236543,2.79160316814856,482724.210463,4642867.352027,,,437,,no
182,pt0370,370,41.9493667350320,2.86099817977579,488479.077189,4644163.838184,,,,,yes
183,pt0372,372,41.9731614725757,2.95062493438968,495909.156646,4646797.559577,,,,,yes
184,pt0374,374,41.7745898348590,2.66985543973754,472561.914094,4624802.349273,,,364,,no
185,pt0376,376,41.5463692575546,2.24717357853882,437211.640293,4599685.706484,,,,,yes
186,pt0378,378,41.5509855995667,2.25321265941420,437719.755112,4600193.846656,,,,,yes
187,pt0380,380,41.6150066507186,2.24463348749154,437066.464631,4607307.809065,,,307,,no
188,pt0382,382,41.6306976880440,2.24445033343066,437066.464631,4609050.003940,EDAR SANTA EUL?«LIA DE RON?ÁANA,ES9081070012010E,,,no
189,pt0384,384,41.6218172200447,2.28724914767573,440623.268360,4608033.723596,,,,,yes
190,pt0386,386,41.6804290512936,2.48893509413040,457463.645201,4614421.771473,,,,,yes
191,pt0388,388,41.6578137840847,2.29295508972173,441131.383179,4612026.253519,,,,,yes
192,pt0390,390,41.6842203609221,2.46012331861168,455068.246771,4614857.320192,EDAR SANTA MARIA DE PALAUTORDERA,ES9082590005010E,,,no
193,pt0392,392,41.7165425304816,2.52442620221610,460439.746281,4618414.301396,,,344,,no
194,pt0394,394,41.7184969415799,2.17623006331431,431477.201627,4618849.850115,EDAR SANT QUIRZE SAFAJA,ES9082390001010E,311,,no
195,pt0396,396,41.7197987297570,2.27220503582739,439461.863061,4618922.441568,,,313,,no
196,pt0398,398,41.7265384356214,2.57235364659020,464432.076998,4619503.173193,EDAR RIELLS I VIABREA,ES9171460006010E,356,,no
197,pt0400,400,41.7276024723205,2.51125321093310,459350.928813,4619648.356100,,,343,,no
198,pt0402,402,41.7245653581608,2.42051331823011,451801.794367,4619357.990287,,,339,,no
199,pt0404,404,41.7375836458989,2.40904865943638,450858.152561,4620809.819350,,,,,yes
200,pt0406,406,41.7410882664611,2.61939620135074,468351.819883,4621100.185163,,,352,,no
201,pt0408,408,41.7382974074993,2.56965692075815,464214.313504,4620809.819350,EDAR BREDA,ES9170270002010E,,,no
202,pt0410,410,41.7460514728869,2.40285994213881,450350.037742,4621753.508241,,,338,,no
203,pt0412,412,41.7395653354773,2.55917335759075,463343.259530,4620955.002256,,,614,,no
204,pt0414,414,41.7484565643150,2.16013247697817,430170.620665,4622189.056960,,,,,yes
205,pt0416,416,41.7525621275586,2.39756101240007,449914.510755,4622479.422773,,,,,yes
206,pt0418,418,41.7567328403335,2.60533325475168,467190.414584,4622842.380038,,,,,yes
207,pt0420,420,41.7668898242145,2.52492785628594,460512.334112,4624003.843289,,,,25,no
208,pt0422,422,41.7438606288583,2.49105134638213,457681.408695,4621463.142428,,,,,yes
209,pt0424,424,41.5471412578500,2.26544146026549,438735.984748,4599758.297937,,,,,yes
210,pt0426,426,41.5557451856333,2.28188243588298,440115.153542,4600701.986828,,,316,,no
211,pt0428,428,41.5886736233789,2.32070743066577,443381.605946,4604331.559485,,,609,,no
212,pt0430,430,41.6085836860587,2.08093247487324,423419.952363,4606727.077439,,,606,,no
213,pt0432,432,41.6242668323172,2.37087309033443,447591.700156,4608251.497955,,,,,yes
214,pt0434,434,41.6099760473036,2.17848335828719,431549.789458,4606799.668893,EDAR CALDES DE MONTBUI,ES9080330001010E,,,no
215,pt0436,436,41.6189809904632,2.07294328393069,422766.661882,4607888.540690,,,,,yes
216,pt0438,438,41.6392639470194,2.15980868853213,430025.445003,4610066.284284,,,302,,no
217,pt0440,440,41.6030921433932,2.60888413381876,467408.178077,4605783.388548,,,329,,no
218,pt0442,442,41.5384686042070,2.06191120159527,421750.432245,4598959.791953,,,124,,no
219,pt0444,444,41.5930645955340,2.40514302546572,450422.625574,4604767.108204,,,326,,no
220,pt0446,446,41.6849886895415,2.35545479197214,446357.707026,4615002.503098,EDAR C?«NOVES I SAMAL?‹S,ES9080420001010E,,,no
221,pt0448,448,41.7305788628473,2.92494005286861,493757.560808,4619866.130459,,,377,,no
222,pt0450,450,41.6738517704304,2.48026677470114,456737.766889,4613695.856942,,,334,,no
223,pt0452,452,41.5862694222091,2.15527104216091,429589.918016,4604186.376579,,,299,,no
224,pt0454,454,41.5508617996136,2.05825056172210,421460.080920,4600339.029562,,,125,,no
225,pt0456,456,41.5983664056083,2.41903061214551,451584.030873,4605347.839830,,,,,yes
226,pt0458,458,41.5716161876602,2.20944241726677,434090.363551,4602516.773157,,,305,,no
227,pt0460,460,41.5352549166515,2.15332467677450,429372.154522,4598524.243234,,,,,yes
228,pt0462,462,41.6070348802800,2.13409316155769,427847.810067,4606509.303080,,,300,,no
229,pt0464,464,41.7084811737024,2.34736767973366,445704.416545,4617615.795412,,,,,yes
230,pt0466,466,41.6835683479408,2.05544574443920,421387.493089,4615075.094551,,,,,yes
231,pt0468,468,41.6233000331350,2.12341942670096,426976.756092,4608324.089409,,,,,yes
232,pt0470,470,41.5925515589805,2.03935529218644,419935.736464,4604984.882564,EDAR MATADEPERA,ES9081200001100E,123,,no
233,pt0472,472,41.5900546047097,2.20376583972780,433635.978931,4604568.192419,,,,,yes
234,pt0474,474,41.6298244595889,2.12158817511319,426831.580430,4609050.003940,,,,,yes
235,pt0476,476,41.6932160602427,2.57868052227662,464940.191816,4615801.009083,,,,,yes
236,pt0478,478,41.6571500293579,2.32609099637511,443889.720765,4611930.461069,,,,,yes
237,pt0480,480,41.4878031912291,2.19220205072429,432566.019095,4593225.067154,,,296,,no
238,pt0482,482,41.4877602846979,2.18611588362622,432057.904277,4593225.067154,,,,,yes
239,pt0484,484,41.5023174811265,2.12070444788991,426613.816936,4594894.670576,,,128,,no
240,pt0486,486,41.5120305140484,2.10839509413079,425597.587299,4595983.542373,,,,,yes
241,pt0488,488,41.4815990720236,2.14793737647984,428864.039704,4592571.744075,,,288,,no
242,pt0490,490,41.4746902556902,2.09934415237406,424799.121156,4591845.829544,,,285,,no
243,pt0492,492,41.7712136841478,2.46725466728388,455721.537252,4624511.983461,,,,,yes
244,pt0494,494,41.7809467557693,2.45145139506869,454414.956290,4625600.855258,,,,,yes
245,pt0496,496,41.4616205252874,2.18818118009578,432203.079939,4590321.409028,,,289,,no
246,pt0498,498,41.4726003796130,2.08651964275832,423725.868616,4591625.038861,,,286,,no
247,pt0500,500,41.5256237061763,2.09080783612605,424145.830675,4597507.962890,,,126,,no
248,pt0502,502,41.5682353132723,2.10501089945436,425379.823805,4602226.407344,,,,,yes
249,pt0504,504,41.6013573452546,2.07667977911655,423057.013207,4605928.571455,EDAR CASTELLAR DEL VALL?ÍS,ES9080510004010E,293,,no
250,pt0506,506,41.6443429576246,2.05601888438268,421387.493089,4610719.607363,,,,,yes
251,pt0508,508,41.6737763430579,2.05733297545145,421532.668751,4613986.222754,EDAR SANT LLOREN?Á SAVALL,ES9082230001010E,,,no
252,pt0510,510,41.5210170794453,2.17351967572791,431041.674640,4596927.231264,,,298,,no
253,pt0512,512,41.4923858968093,2.19301470824197,432638.606927,4593733.207326,,,607,,no
254,pt0514,514,41.5318117869493,2.22123880503385,435034.005357,4598088.694515,,,303,,no
255,pt0516,516,41.5430140515270,2.23415844945097,436122.822825,4599322.749218,EDAR MONTORN?ÍS DEL VALL?ÍS,ES9081360001010E,304,,no
256,pt0518,518,41.5224971453342,2.19786065887852,433074.133914,4597072.414171,,,,,yes
257,pt0520,520,41.5746466624324,2.17544842968807,431259.438134,4602879.730423,,,,,yes
258,pt0522,522,41.6431546750488,2.15540007463590,429662.505847,4610501.833003,,,,,yes
259,pt0524,524,41.5862453509504,2.24583967672977,437139.052462,4604113.785126,,,306,,no
260,pt0526,526,41.6522035353506,2.23373821086256,436195.410656,4611445.521894,,,,,yes
261,pt0528,528,41.6924880088928,2.19662446363875,433146.721745,4615946.191989,EDAR SANT FELIU DE CODINES,ES9082100001010E,,,no
262,pt0530,530,41.7035593606194,2.19037964497859,432638.606927,4617180.246693,,,,,yes
263,pt0532,532,41.7307664864926,2.15512616868875,429735.093678,4620229.087725,,,310,,no
264,pt0534,534,41.5657071944309,2.30701882903213,442220.200647,4601790.858625,EDAR VILANOVA DEL VALL?ÍS,ES9081810001010E,317,,no
265,pt0536,536,41.5985823560184,2.33802389471144,444833.362570,4605420.431283,,,610,,no
266,pt0538,538,41.6163634179142,2.36049480584829,446720.646182,4607380.400518,"EDAR ROCA DEL VALL?ÍS, LA",ES9080460001010E,319,,no
267,pt0540,540,41.6555772991622,2.35749168616687,446502.882688,4611735.887707,,,,,yes
268,pt0542,542,41.6321973412014,2.38648247157852,448898.281118,4609122.595393,,,611,,no
269,pt0544,544,41.6467532322208,2.41946778793794,451656.618704,4610719.607363,,,325,,no
270,pt0546,546,41.6604478596806,2.41236998218904,451075.916055,4612244.027879,EDAR SANT ANTONI DE VILAMAJOR,ES9081980007010E,324,,no
271,pt0548,548,41.5681649462323,2.39492416050830,449551.571599,4602008.632985,,,,,yes
272,pt0550,550,41.6031098010031,2.45296022976646,454414.956290,4605855.980002,,,328,,no
273,pt0552,552,41.6142043965786,2.60794577904761,467335.590246,4607017.443252,,,,,yes
274,pt0554,554,41.7079944611770,2.70509633653120,475465.427342,4617398.021052,,,361,,no
275,pt0556,556,41.7719070550203,2.64716172398797,470674.630482,4624511.983461,,,,,yes
276,pt0558,558,41.8048647634052,2.74834316846645,479094.818903,4628141.556118,EDAR SILS-VIDRERES,ES9171930002010E,366,,no
277,pt0560,560,41.8258583668618,2.78322489789588,481998.332151,4630464.482619,EDAR CALDES DE MALAVELLA,ES9170330001010E,367,,no
278,pt0562,562,41.8100734785117,2.53247385169914,461165.624593,4628794.879196,,,349,,no
279,pt0564,564,41.8197137433700,2.49307320621089,457899.172189,4629883.750994,,,,26,no
280,pt0566,566,41.7306096395910,2.61422123562202,467916.292896,4619938.721912,,,353,,no
281,pt0568,568,41.7273018755607,2.60289515269752,466972.651090,4619575.764647,,,613,,no
282,pt0570,570,41.7356590885028,2.56356442931012,463706.198686,4620519.453538,,,357,,no
283,pt0572,572,41.7159630862921,2.54275517794611,461964.090736,4618341.709943,,,346,,no
284,pt0574,574,41.6975343343497,2.51322564278903,459496.104475,4616309.149255,,,612,,no
285,pt0576,576,41.6843789426066,2.49500908052888,457971.760020,4614857.320192,,,341,,no
286,pt0578,578,41.6796842920915,2.46888236896574,455794.125083,4614349.180020,,,335,,no
287,pt0580,580,41.7623136772796,2.38699104155115,449043.456781,4623568.294570,,,,,yes
288,pt0582,582,41.6627408022040,2.48122801761123,456810.354720,4612461.802238,,,,,yes
289,pt0584,584,41.7416724399629,2.89699253765828,491434.750209,4621100.185163,,,,,yes
290,pt0586,586,41.8260513352433,2.94842938487512,495717.432250,4630464.482619,,,381,,no
