activitat_,nom_abocam,Punt2
"AUTEMA, SA",AUTEMA SA (TRACTAMENT OFICINES DEL PEATGE DE TERRASSA-LES FONTS),114
"TINTES IGUALADA, SA","TINTS IGUALADA, SA (SORTIDA SANITÀRIES, PROCÉS I PURGUES)",152
"BALDOSAS VALLES, SL","BALDOSAS DEL VALLÈS, SL",184
LA BALCHETA RECICLAJE SL,RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,583
"MASIA CAN FERMI, CB","MASIA CAN FERMI, CB: RIERA DE MARGANELL",194
"EXPLOTACIONS FUNERARIES, SL","EXPLOTACIONS FUNERARIES, SL (SORTIDA DEPURADORA)",186
"LOGIVIT, SL","LOGIVIT, SL",599
HOTEL RESTAURANT SOL I VI,"Abocament HOTEL RESTAURANT OL I VI, SL (022000000243)",141
"AFFINITY PETCARE, SA","AFFINITY PETCARE, SA",131
"GARVE , SA",022001000236 - AB 1,156
ESTACIO SERVEI CEDIPSA (AREA SERV. MONTSERRAT),Abocament: Estacions de servei Montserrat: Riera Sanana (Torrent del Sellerès),191
"MAS-BAGÀ BLANC, MANEL",MANEL MAS-BAGÀ BLANC,105
"BODEGUES SUMARROCA, SL","ABOCAMENT 1 BODEGUES SUMARROCA, SL",133
"MECANIZADOS RODRIGUEZ HERMANOS, SL.","MECANIZADOS RODRIGUEZ HERMANOS, SL",119
"AUTOGRÚAS SANT JORDI, SL",AUTOGRUAS SANT JORDI (ABO 2),131
AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL.IND. ROSANES),AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL. IND.),121
"DS SMITH PACKAGING PENEDES, SA","CARTONAJES DEL PENEDÉS, S.A. (SORTIDA DEPURADORA)",145
"UNION INDUSTRIAL PAPELERA, SA","AB. 2 RIU ANOIA - SORTIDA PROCÈS (UNION INDUSTRIAL PAPELERA, SA)",154
"AHLSTROM BARCELONA, SAU","ABOCAMENT AHLSTROM BARCELONA, SAU",152
CLUB DE TENIS SANT GERVASI,CLUB DE TENIS SANT GERVASI (SORTIDA DEPURADORA),98
"UNION INDUSTRIAL PAPELERA, SA","AB. 1 RIU ANOIA - SORTIDA DOMÈSTIQUES (UNION INDUSTRIAL PAPELERA, SA)",154
ENTITAT DE CONSERVACIO DEL PLA PARCIAL CAN TORRELLA,POLÍGON INDUSTRIAL CAN TORRELLA _ EUCPP (SORTIDA DEPURADORA),174
"IBERINOX 88, SA","Abocament 4 IBERINOX 88, SA Riera de la Salut aigües pluvials",100
"ALDI MONTORNES SUPERMERCADOS, SL","TORRENT CAN ESTEVE - ALDI MASQUEFA SUPERMERCADOS, SL",131
AJUNTAMENT DE SANT ESTEVE SESROVIRES - POL.IND. ANOIA,POLÍGON INDUSTRIAL ANOIA_SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),121
"CACENCA, S.L.","RIERA INNOMINADA  I RIU ANOIA (CACENCA, S.L.)",129
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR -HIDROCARBURADES I SANITÀRIES- (SORTIDA DEPURADORA),159
"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC SARDANET",99
"CARBURANTS J. SOLANAS, SL",022002000002-Torrent Bo (tributari del Llobregat),118
"FOLCH,S.A.","RIU ANOIA - FOLCH, SA",170
"CEMENTOS MOLINS INDUSTRIAL, SA",CIMENTS MOLINS EXTRACTIVA LA FOU (SORTIDA FOSSA SÈPTICA 2),107
"AGROMILLORA IBERIA, SLU",022001000111,133
AJUNTAMENT DE GELIDA,ABOCAMENT DEL POLIGON LA GELIDENSE,128
"FICOSA ELECTRONICS, SLU","SONY ESPAÑA, SA BL20060696 (FERTIRRIGACIÓ)",178
"LINARES TALLÓ, JORDI",JORDI LINARES TALLÓ (SORTIDA DEPURADORA),193
"CAMPSA ESTACIONES DE SERVICIO, SA (E.S.TÚNELS DE VALLVIDRERA Nº96.348)",ESTACIÓ DE SERVEI TÚNELS DE VALLVIDRERA Nº96.348,109
"GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU",GALP DISTRIBUCION OIL ESPAÑA - E.S. VALLIRANA (ARQUETA PRÈVIA A L'ABOCAMENT),107
AJUNTAMENT DE CORBERA DE LLOBREGAT,AJUNTAMENT DE CORBERA DE LLOBREGAT (SORTIDA PLUVIALS I REG PAVIMENTS),110
"ITG BAIX, SL (INDUSTRIA DE TRATAMIENTO GALVANICO)","Abocament ITG BAIX, SL  (Sortida depuradora) - riera de Vallirana",107
EDAR LAVERN,EDAR LAVERN,136
"SOCIETAT GENERAL D'AIGÜES DE BARCELONA, SA","Abocament SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA (022000000086)",94
"RESTAURANT CAL JEPET, SL","CAL JEPET, SL",194
"IBERINOX 88, SA","Abocament 5 IBERINOX 88, SA Riera de la Salut aigües pluvials",100
"AUTEMA, SA",AUTEMA SA (SORTIDA EDIFICI MANTENIMENT + BOX DE RENTAT DEL PEATGE DE CASTELLBELL I EL VILAR),602
"GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L","GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L  (arqueta sortida)",116
"BODEGUES SUMARROCA, SL","ABOCAMENT 2 BODEGUES SUMARROCA, SL",133
RESTAURANT EL MOLÍ BLANC,DAVID HERRERIAS BATLLA - MASIA MOLÍ BLANC,145
"AUTOGRÚAS SANT JORDI, SL",AUTOGRUAS SANT JORDI SL (ABOCA 1),131
FUNDACIÓN FILOKALIA AMIGOS DE AMMA,FUNDACIÓN FILOKALIA - AMIGOS DE AMMA,149
BENEDICTINES MONESTIR DE SANT BENET,BENEDICTINES MONESTIR DE SANT BENET: TORRENT INNOMINAT,190
"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT PLUVIALS RIERA SALUT,99
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 1)",120
INCASOL - COLÒNIA SEDÓ,INCASOL - COLÒNIA SEDÒ: LLERA DEL RIU LLOBREGAT,187
"PULIDOS Y CROMADOS DE METALES, SL",CROMIPUL (SORTIDA SANITÀRIES),134
"ROTOCAYFO,SL",PRINTER-Riera Manya,103
"RECYMET SYSTEMS, SL","RECYMET SYSTEMS, SL (FOCUS 2 SORTIDA PLUVIALS CONTAMINADES)",112
"TAIGUA, AIGUA MUNICIPAL TERRASSA","Taigua, Aigua municipal de Terrassa-desguàs depuradora",186
"JUVE & CAMPS, SA",TORRENT DE CAN TORRES (JUVE I CAMPS),132
"CARBURANTS J. SOLANAS, SL",CARBURANTS J-SOLANAS: Sortida tractament,97
"IBERINOX 88, SA","Abocament 2 IBERINOX 88, SA Riera de la Salut aigües pluvials",100
CASA CAL FAINÉ,TORRENT DEL RUBIO (afluent del riu Llobregat),197
"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC CAN MARCH",99
"METALES BAIX LLOBREGAT, SL.","METALES BAIX LLOBREGAT 2000, SL (SORTIDA SANITÀRIES)",170
"MARIA NUTO, SA",Abocament MARIA NUTO SA - Torrent Sant Francesc,143
"SEGURA VIUDAS, SA","ABOCAMENT SEGURA VIUDAS, SA - RIERA DE RIUDEBITLLES (RESTA DE L'ANY)",144
"COGENERACIÓN PRAT, SA",COGENERACION PRAT SA  (SORTIDA TRACTAMENT),97
"LABORATORIO JAER, SA","LABORATORIO JAER, SA_Abocament (Llera)",600
AJUNTAMENT DE SANT ESTEVE SESROVIRES (TORRENT LES MORERES),"Abocament CA N'ESTELLA, SA - torrent de les Moreres",171
AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),149
"SALVIA ELECTRONIC, S.L.",AA2002001596,187
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI F (SORTIDA TRACTAMENT),120
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI D (SORTIDA TRACTAMENT),120
"RECUPERACION Y RECICLAJE DE RESIDUOS, SL",RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,583
"ESTACION DE SERVICIO EL BRUCH, SA (REPSOL)",ESTACIÓ DE SERVEI EL BRUC: RIERA MAGAROLA,183
"CAN MAS, CASA DE COLONIES, S.L","CAN MAS, CASA DE COLONIES, S.L   (LSORTIDA DEPURADORA",101
"FAST ENGINYERIA, SL","FAST ENGINYERIA, SL (SORTIDA DEPURADORA  AIGÜES RESIDUALS SANITÀRIES)",159
EDAR LA FANGA,EDAR LA FANGA (SORTIDA DEPURADORA),138
"AUTEMA, SA",AUTEMA SA (SORTIDA TRACTAMENT DE LES CABINES DE PEATGE DE SORTIDA DE CASTELLBELL I EL VILAR),195
"DRAGADOS, SA","DRAGADOS, SA (SORTIDA DEPURADORA) - llera innominada",113
"ARQUE ELIAS, SL","ARQUE ELIAS, SL",171
"AIR LIQUIDE IBÉRICA DE GASES, SLU","AIR LIQUIDE IBERICA DE GASES, SLU  (abocament purgues refrigeració)",171
"CELLER PARDAS, SL",ABOCAMENT RAMON PARERA PARDAS (SANITÀRIES),145
"TECASA, TABIQUES, SL",Teuleria Catalana-abocament,596
"HERCA, SCCL","HERCA, SCCL (SORTIDA TRACTAMENT)",200
ATRA ASSOCIACIÓ,ATRA ASSOCIACIÓ (SORTIDA DEPURADORA),601
"LA GRAMANOSA, SL","RIERA DELS GORGS (GERMINA VITI, SL)",137
FUNDACIÓ AMPANS,AMPANS (SORTIDA DEPURADORA),199
"CODORNIU, SA",CODORNIU SA (PUNT 1_SORTIDA TRACTAMENT),142
AMPANS,AMPANS (DEPURADORA TORRE DEL GRAN),203
"SOLO PALETS, SL",SOLO PALETS SL (0502080144),170
"PAPELERA RIUDEVITLLES, SA",PAPELERA RIUDEVITLLES (SORTIDA REBUIG D'OSMOSI),139
"FLEXIPLAS, S.A.","FLEXIPLAS, S.A (SORTIDA DEPURADORA)",171
EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT),EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT) - ABOCAMENT RIU LLOBREGAT-,94
ASSOCIACIO CATALANA DE CASES DE COLONIES,ASSOCIACIO CATALANA DE CASES DE COLONIES,191
MÚTUA DE TERRASSA,MÚTUA DE TERRASSA (SORTIDA REFRIGERACIÓ I SOBREEIXIDOR BASSA RECUPERACIÓ),178
"CARTONAJES INTERNATIONAL, SL",Abocament 022002000100,118
"GRAMONA, SA","GRAMONA, SA  (SORTIDA DE LA DEPURADORA)",135
"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT A BARRANC DEL SARDANET 2,99
"CERAMICA PIEROLA, SL",021998000857 - AB 1,180
"CAMPSA ESTACIONES DE SERVICIO, SA",021998000352 - AB 1,179
REMAR CATALUNYA,REMAR CATALUNYA (SORTIDA DEPURADORA),121
ASOCIACIÓN RETO A LA ESPERANZA,ASSOCIACIÓ RETO A LA ESPERANÇA (SORTIDA DEPURADORA),176
"IBERINOX 88, SA","Abocament 3 IBERINOX 88, SA Riera de la Salut aigües pluvials",100
"FCC CONSTR. I SERVIÀ CANTÓ, SA (UTE VAR. VALLIRANA)",UTE VALLIRANA (SORTIDA TRACTAMENT FÍSICOQUÍMIC),106
"SOLER & DEGOLLADA, SA",022002000029-Torrent Sabanell,139
"HOTEL EL BRUC, SL",HOTEL EL BRUC SL (SORTIDA DEPURADORA),184
"CLEMENTE SAURA, PEDRO","CLEMENTE SAURA, PEDRO (SORTIDA TRACTAMENT)",108
"COMERCIAL CATALANA DE MAQUINARIA TEXTIL, S.A.",COMERCIAL CATALANA DE MAQUINARIA TEXTIL SA,187
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE AP-7 GELIDA SORTIDA 26 (SORTIDA TRACTAMENT),128
"CARGILL, SLU",CARGILL-RIU LLOBREGAT,169
CONSORCI PAR DE COLLSEROLA,Abocament CONSORCI PARC DE COLLSEROLA (022000000131),598
MINISTERIO DE FOMENTO - UTE AUTOVIA B-40,MINISTERIO DE FOMENTO - UTE AUTOVIA B-40: TORRENT DE SANT JAUME,175
"DHL SUPPLY CHAIN (SPAIN), SLU",ABOCAMENT EMPRESA DHL - TORRENT INNOMINAT AFLUENT DEL RIU ANOIA,128
"RED-GOM,SCP","RED-GOM, SCP (sortida filtre biològic)",204
"ANODICOLOR, SLU",RIERA DEL PALAU (ANODICOLOR),117
"MB. PAPELES ESPECIALES, SA","ABOCAMENT MB PAPELES ESPECIALES, RIU ANOIA",155
AMPANS,AMPANS (DEPURADORA TORRE DEL FILL),203
AJUNTAMENT DE SANT LLORENÇ D'HORTONS,POLÍGON INDUSTRIAL CAN SERRA III (SORTIDA DEPURADORA),130
"SUCESORES DE CERAMICA DE PAPIOL, SA","SUCESORES DE CERAMICA DE PAPIOL, SA (SORTIDA DEPURADORA)",111
AJUNTAMENT DE PIERA - BARRI CAN BONASTRE,AJUNTAMENT DE PIERA - BARRI CAN BONASTRE: TORRENT DEL QUELÓ (DESGUASSA EN EL TT DE SANTA MAGDALENA),149
"SNOP ESTAMPACION, SA","RIU ANOIA (SNOP SYSTEMS CATALUNYA, SA)",157
JUNTA DE COMPENSACIÓ POLI.INDUSTRIAL CAN BAS,POLIG.IND. CAN BAS - AJUNTAMENT (SORTIDA DEPURADORA),136
"FERRER VILARRUBI, SA","022001200002-FERRER VILARRUBÍ,SA",151
"J. VILASECA, SA","TORRENT FONT DE LA REINA (J.VILASECA, SA)",153
MANCOMUNITAT INTERMUNICIPAL PENEDÈS I GARRAF,MANCOMUNITAT INTERMUNICIPAL PENEDES-GARRAF. TORRENT DE PUIGCOGUL,147
"CEPSA ESTACIONES DE SERVICIO, SA",CEPSA GASOCENTRO Martorell. connexió clavegueram Polígon Ind.,119
"AUTOREC, SL - RECUP. VEHICLES INDUSTRIALS",AUTOREC (SORTIDA PLUVIALS SORTIDA DECANTADOR),177
EDAR LES CASETES D'EN RASPALL,MANCOMUNITAT PENEDÈS -GARRAF: TORRENT DE LES CASETES D'EN RASPALL,139
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 3 URBANITZACIO FINCA OASIS - riera de Sant Jaume,173
EDAR L'ALZINAR,MANCOMUNITAT PENEDÈS-GARRAF EDAR DE L'ALZINAR: FONT DE CAN COSTA,138
SAGRADA FAMILIA DE URGEL-INSTITUTO HERMANAS CURIA,SAGRADA FAMILIA DE URGEL-INSTITUTO HERMANAS DE LA CURIA,115
S.A. TINTES TEXTILES-81,Abocament de SA TINTES TEXTILES-81 (AA2002000832),187
"DEIXALLES I TRANSPORTS A.PLAZAS, SA","DEIXALLES I TRANSPORTS A.PLAZAS, SA",136
SUBESTACIÓ PIEROLA,"RED ELÉCTRICA DE ESPAÑA, S.A. SUBESTACIÓ PIEROLA (SORTIDA SANITÀRIES)",182
"FRAGNOR, SL","FRAGNOR, SORTIDA OXIDADOR (SANITÀRIES) I SEPARADOR HODROCARBURS (PLUVIALS) A TORRENT",152
"CAMPSA ESTACIONES DE SERVICIO, SA (E.S. SANT ESTEVE SE",ESTACIÓ DE SERVEI 2264: TORRENT DEL GRAU,121
MANCOMUNITAT PENEDÈS-GARRAF (BARRI LA FANGA),MANCOMUNITAT PENEDÈS-GARRAF EDAR  DEL NUCLI DE LA FANGA: RIERA DEL ROMANÍ,138
"OWENS-CORNING FIBERGLAS ESPAÑA,SL","TORRENT SALTAN OWENS CORNING FIBERGLAS ESPAÑA,SA",196
"TGB, SA","TGB, SA (xarxa de clavegueram)",152
"CESPA GESTION DE RESIDUOS, SA",ABOCAMENT 5 (PLUVIALS ZONA NOVA),181
AJUNTAMENT DE PIERA (BARRI CAN CANALS),AJUNTAMENT DE PIERA_BARRI DE CAN CANALS (SORTIDA DEPURADORA),140
"LAFOU, SL. (URBANITZACIÓ MAS DE LES FONTS)",Abocament URBANITZACIO MAS DE LES FONTS - torrent Fondo de les Fonts,106
ASSOCIACIÓ RECREATIVA DE CARAVANISTES DE BARCELONA,AA2002001654_x000D_,132
EDAR EL PRAT DE LLOBREGAT,ASSUT DE MOLINS - ABOCAMENT DE L'EDAR DEL PRAT PER A MANTENIMENT DEL CABAL DEL LLOBREGAT,103
"TRANSPORTES AMADOR GARCIA GONZALEZ, SA","TRANSPORTES AMADOR GARCÍA GONZÁLEZ, SA (SORTIDA SANITÀRIES, RENTAT I PLUVIALS CONTAMINADES)",171
AJUNTAMENT DE PIERA,TORRENT LES PLANES (BARRI CAN BOU),149
JUNTA DE COMPENSACIÓ SECTOR P-7,JUNTA DE COMPENSACIÓ SECTOR P-7 INDUSTRIAL SOLVAY,171
"FERRÉ ROIG, ARMONIA","FERRÉ ROIG, ARMONIA:TORRENT DE CAN BARATA",115
"CENTRE DE GESTIÓ MEDIAMBIENTAL, SL",CENTRE DE GESTIÓ MEDIAMBIENTAL (SORTIDA SANITÀRIES),156
"AUTEMA, SA",AUTEMA SA (OFICINES DEL PEATGE DE CASTELLBELL I EL VILAR),602
"CERAMICAS PIERA, SL","ABOCAMENT CERÀMICA PIERA, SL (AIGÜES SANITÀRIES)",180
"CANALS CUSSO, JOSEP",JOSEP CANALS CUSSO (llera),196
AIGÜES TER LLOBREGAT (PLANTA SANT JUST DESVERN),AIGUES TER LLOBREGAT - BOCA SUD TUNEL FONTSANTA-TRINITAT,98
